StockCode,Warehouse,OnHand
700-SPK550-4,WH/Stock/Raw Materials,31
700-SPK550-4,WH/Stock/Tech Stock,4
700-SPK550-5,WH/Stock/Raw Materials,28
700-SPK550-5,WH/Stock/Tech Stock,7
700-SPSCB,WH/Stock/Welding,12
700-SPSCH,WH/Stock/Welding,18
700-SPSCHCOM,WH/Stock/Raw Materials,20
700-SPSCV,WH/Stock/Raw Materials,13
700-SPSLP-S,WH/Stock/Raw Materials,10
700-SPSS,WH/Stock/Tech Stock,8
700-SPSS,WH/Stock/General Assembly,11
700-SPSSB,WH/Stock/Sheet Metal,46
700-SPSSM,WH/Stock/Raw Materials,5
700-SPSSM,WH/Stock/General Assembly,1
700-SPSSM-PAN,WH/Stock/Raw Materials,8
700-SSMR-2-V2,WH/Stock/General Assembly,42
700-SUBDT2-6,WH/Stock/Welding,62
700-SUBDT3-1,WH/Stock/Sheet Metal,1
700-SUBDT3-7,WH/Stock/Welding,1
700-SUBDT3-HSC,WH/Stock/Raw Materials,3
700-SUBDT4-13,WH/Stock/Raw Materials,83
700-SUBDT4-15,WH/Stock/Raw Materials,39
700-SUBDT4-18,WH/Stock/Raw Materials,27
700-SUBDT4-19,WH/Stock/Raw Materials,32
700-SUBDT4-20V2,WH/Stock/Raw Materials,19
700-SUBDT4-20V2,WH/Stock/General Assembly,3
700-SWBOX2-C,WH/Stock/Raw Materials,21
700-T-1,WH/Stock/Raw Materials,631
700-T-1,WH/Stock/General Assembly,86
700-T-14,WH/Stock/General Assembly,270
700-T-14E,WH/Stock/General Assembly,114
700-T-15,WH/Stock/General Assembly,132
700-T-15S,WH/Stock/Raw Materials,200
700-T-15S,WH/Stock/General Assembly,652
700-T-16,WH/Stock/Raw Materials,2
700-T-16,WH/Stock/General Assembly,1
700-T-17,WH/Stock/Sheet Metal,80
700-T-18,WH/Stock/Raw Materials,4
700-T-19,WH/Stock/Raw Materials,1046
700-T-20,WH/Stock/Raw Materials,15
700-T-21,WH/Stock/Raw Materials,32
700-T-25,WH/Stock/Raw Materials,304
700-T-25,WH/Stock/General Assembly,9
700-T-2L,WH/Stock/Raw Materials,1
700-T-2R,WH/Stock/Raw Materials,8
700-T-3,WH/Stock/Raw Materials,50
700-T-30,WH/Stock/Sheet Metal,534
700-T-35,WH/Stock/General Assembly,1317
700-T-37,WH/Stock/General Assembly,41
700-T-39,WH/Stock/Raw Materials,7
700-T-4,WH/Stock/Raw Materials,543
700-T-4,WH/Stock/General Assembly,1205
700-T-40,WH/Stock/Welding,46
700-T-46,WH/Stock/General Assembly,116
700-T-50,WH/Stock/General Assembly,305
700-T-51,WH/Stock/General Assembly,175
700-T-53,WH/Stock/Raw Materials,242
700-T-54,WH/Stock/Welding,28
700-T-56,WH/Stock/General Assembly,88
700-T-57,WH/Stock/General Assembly,19
700-T-6,WH/Stock/Sheet Metal,75
700-T-7,WH/Stock/General Assembly,725
700-T-8,WH/Stock/Raw Materials,45
700-T-9,WH/Stock/Raw Materials,249
700-T-LED-1,WH/Stock/Raw Materials,36
700-T-LED-1,WH/Stock/General Assembly,6
700-T-LED-10,WH/Stock/Raw Materials,216
700-T-LED-10,WH/Stock/General Assembly,51
700-T-LED-11,WH/Stock/Raw Materials,45
700-T-LED-12,WH/Stock/Raw Materials,28
700-T-LED-2,WH/Stock/Raw Materials,16
700-T-LED-3,WH/Stock/General Assembly,8
700-T-LED-4,WH/Stock/Raw Materials,65
700-T-LED-6,WH/Stock/Raw Materials,200
700-T-LED-6,WH/Stock/General Assembly,84
700-T-LED-7,WH/Stock/Raw Materials,80
700-T-LED-7,WH/Stock/General Assembly,17
700-T-LED-8,WH/Stock/Raw Materials,51
700-T-LED-9,WH/Stock/General Assembly,23
700-TBVE-1,WH/Stock/Welding,44
700-TBVE-10,WH/Stock/Raw Materials,79
700-TBVE-10,WH/Stock/General Assembly,17
700-TBVE-13,WH/Stock/Raw Materials,221
700-TBVE-13,WH/Stock/General Assembly,46
700-TBVE-14,WH/Stock/Raw Materials,130
700-TBVE-15,WH/Stock/Welding,12
700-TBVE-17,WH/Stock/Welding,10
700-TBVE-27,WH/Stock/Raw Materials,42
700-TBVE-27,WH/Stock/General Assembly,24
700-TBVE-3,WH/Stock/General Assembly,115
700-TBVE-36,WH/Stock/Raw Materials,32
700-TBVE-4,WH/Stock/General Assembly,89
700-TBVE-5,WH/Stock/General Assembly,127
700-TBVE-6,WH/Stock/General Assembly,322
700-TBVE-7,WH/Stock/General Assembly,82
700-TBVE-8,WH/Stock/Raw Materials,33
700-TBVE-9,WH/Stock/General Assembly,67
700-TPLANB-1,WH/Stock/Raw Materials,2
700-TPLANB-10,WH/Stock/Raw Materials,24
700-TPLANB-11,WH/Stock/Raw Materials,207
700-TPLANB-12,WH/Stock/Raw Materials,60
700-TPLANB-14,WH/Stock/Raw Materials,30
700-TPLANB-15,WH/Stock/Raw Materials,24
700-TPLANB-15,WH/Stock/General Assembly,1
700-TPLANB-16,WH/Stock/Raw Materials,9
700-TPLANB-16,WH/Stock/General Assembly,1
700-TPLANB-18,WH/Stock/Raw Materials,6
700-TPLANB-2,WH/Stock/Raw Materials,6
700-TPLANB-2V2,WH/Stock/Raw Materials,1
700-TPLANB-3,WH/Stock/Raw Materials,12
